tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
132,5a_capital_return_5pct,1,0.0665,0.0665,0.0,0.0,0,0.0,128,-10596.49,52992.0,42395.51,12.0,90.0,0,0.0665,163.3
133,5a_capital_return_5pct,1,0.0666,0.0666,0.0,0.0,0,0.0,128,-10596.49,52992.0,42395.51,12.0,90.0,0,0.0666,163.4
134,5a_capital_return_5pct,1,0.0665,0.0665,0.0,0.0,0,0.0,128,-10578.49,52992.0,42413.51,12.0,90.0,0,0.0665,163.3
135,5a_capital_return_5pct,1,0.0663,0.0663,0.0,0.0,0,0.0,128,-10542.47,52992.0,42449.53,12.0,90.0,0,0.0663,163.2
136,5a_capital_return_5pct,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-10524.47,52992.0,42467.53,12.0,90.0,0,0.0662,163.1
137,5a_capital_return_5pct,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-10515.47,52992.0,42476.53,12.0,90.0,0,0.0661,163.1
138,5a_capital_return_5pct,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-10515.47,52992.0,42476.53,12.0,90.0,0,0.0661,163.1
139,5a_capital_return_5pct,1,0.066,0.066,0.0,0.0,0,0.0,128,-10506.46,52992.0,42485.54,12.0,90.0,0,0.066,163.1
140,5a_capital_return_5pct,1,0.0658,0.0658,0.0,0.0,0,0.0,128,-10479.46,52992.0,42512.54,12.0,90.0,0,0.0658,163.0
141,5a_capital_return_5pct,1,0.0658,0.0658,0.0,0.0,0,0.0,128,-10479.46,52992.0,42512.54,12.0,90.0,0,0.0658,163.1
142,5a_capital_return_5pct,1,0.0658,0.0658,0.0,0.0,0,0.0,128,-10479.46,52992.0,42512.54,12.0,90.0,0,0.0658,163.1
143,5a_capital_return_5pct,1,0.0658,0.0658,0.0,0.0,0,0.0,128,-10479.46,52992.0,42512.54,12.0,90.0,0,0.0658,163.1
144,5a_capital_return_5pct,1,0.0657,0.0657,0.0,0.0,0,0.0,128,-10470.46,52992.0,42521.54,12.0,90.0,0,0.0657,163.1
145,5a_capital_return_5pct,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-10443.45,52992.0,42548.55,12.0,90.0,0,0.0655,163.0
146,5a_capital_return_5pct,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-10443.45,52992.0,42548.55,12.0,90.0,0,0.0655,163.0
147,5a_capital_return_5pct,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-10443.45,52992.0,42548.55,12.0,90.0,0,0.0655,163.1
148,5a_capital_return_5pct,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-10443.45,52992.0,42548.55,12.0,90.0,0,0.0654,163.1
149,5a_capital_return_5pct,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-10443.45,52992.0,42548.55,12.0,90.0,0,0.0654,163.1
150,5a_capital_return_5pct,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-10443.45,52992.0,42548.55,12.0,90.0,0,0.0654,163.2
151,5a_capital_return_5pct,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-10425.45,52992.0,42566.55,12.0,90.0,0,0.0653,163.1
152,5a_capital_return_5pct,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10416.45,52992.0,42575.55,12.0,90.0,0,0.0652,163.1
153,5a_capital_return_5pct,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10407.45,52992.0,42584.55,12.0,90.0,0,0.0651,163.1
154,5a_capital_return_5pct,1,0.065,0.065,0.0,0.0,0,0.0,128,-10398.45,52992.0,42593.55,12.0,90.0,0,0.065,163.1
155,5a_capital_return_5pct,1,0.065,0.065,0.0,0.0,0,0.0,128,-10398.45,52992.0,42593.55,12.0,90.0,0,0.065,163.1
156,5a_capital_return_5pct,1,0.065,0.065,0.0,0.0,0,0.0,128,-10398.45,52992.0,42593.55,12.0,90.0,0,0.065,163.1
157,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10389.45,52992.0,42602.55,12.0,90.0,0,0.0649,163.1
158,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10389.45,52992.0,42602.55,12.0,90.0,0,0.0649,163.2
159,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.2
160,5a_capital_return_5pct,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0649,163.2
161,5a_capital_return_5pct,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10380.45,52992.0,42611.55,12.0,90.0,0,0.0648,163.2
