tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
338,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11085.02,52992.0,41906.98,12.0,90.0
339,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11076.01,52992.0,41915.99,12.0,90.0
340,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11076.01,52992.0,41915.99,12.0,90.0
341,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11067.01,52992.0,41924.99,12.0,90.0
342,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11058.01,52992.0,41933.99,12.0,90.0
343,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11058.01,52992.0,41933.99,12.0,90.0
344,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11049.0,52992.0,41943.0,12.0,90.0
345,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-10994.98,52992.0,41997.02,12.0,90.0
346,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-10994.98,52992.0,41997.02,12.0,90.0
347,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-10985.98,52992.0,42006.02,12.0,90.0
348,2_padrao,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-10976.98,52992.0,42015.02,12.0,90.0
349,2_padrao,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-10958.97,52992.0,42033.03,12.0,90.0
350,2_padrao,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-10958.97,52992.0,42033.03,12.0,90.0
351,2_padrao,1,0.0652,0.0652,0.0,0.0,0,0.0,128,-10940.96,52992.0,42051.04,12.0,90.0
352,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10922.96,52992.0,42069.04,12.0,90.0
353,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10922.96,52992.0,42069.04,12.0,90.0
354,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-10913.96,52992.0,42078.04,12.0,90.0
355,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-10904.96,52992.0,42087.04,12.0,90.0
356,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10895.95,52992.0,42096.05,12.0,90.0
