tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
439,3b_corte_gradual,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10299.0,39398.4,29099.4,12.0,90.0
440,3b_corte_gradual,1,0.0642,0.0642,0.0,0.0,0,0.0,128,-10290.0,39398.4,29108.4,12.0,90.0
441,3b_corte_gradual,1,0.0642,0.0642,0.0,0.0,0,0.0,128,-10290.0,39398.4,29108.4,12.0,90.0
442,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10280.99,39398.4,29117.41,12.0,90.0
443,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10280.99,39398.4,29117.41,12.0,90.0
444,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10280.99,39398.4,29117.41,12.0,90.0
445,3b_corte_gradual,1,0.064,0.064,0.0,0.0,0,0.0,128,-10280.99,39398.4,29117.41,12.0,90.0
446,3b_corte_gradual,1,0.064,0.064,0.0,0.0,0,0.0,128,-10271.99,39398.4,29126.41,12.0,90.0
447,3b_corte_gradual,1,0.0639,0.0639,0.0,0.0,0,0.0,128,-10262.99,39398.4,29135.41,12.0,90.0
448,3b_corte_gradual,1,0.0639,0.0639,0.0,0.0,0,0.0,128,-10262.99,39398.4,29135.41,12.0,90.0
449,3b_corte_gradual,1,0.0639,0.0639,0.0,0.0,0,0.0,128,-10262.99,39398.4,29135.41,12.0,90.0
450,3b_corte_gradual,1,0.0639,0.0639,0.0,0.0,0,0.0,128,-10262.99,39398.4,29135.41,12.0,90.0
451,3b_corte_gradual,1,0.0639,0.0639,0.0,0.0,0,0.0,128,-10262.99,39398.4,29135.41,12.0,90.0
452,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10244.98,39398.4,29153.42,12.0,90.0
453,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10244.98,39398.4,29153.42,12.0,90.0
454,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10244.98,39398.4,29153.42,12.0,90.0
455,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
456,3b_corte_gradual,1,0.0637,0.0637,0.0,0.0,0,0.0,128,-10235.98,39398.4,29162.42,12.0,90.0
